"HTC U20 5G","6.80-inch (1080x2400)","32MP","48MP + 8MP + 2MP + 2MP"
"Vivo V19 Neo","6.44-inch (1080x2400)","Qualcomm Snapdragon 675","32MP"
"Huawei P Smart S","6.30-inch (1080x2400)","HiSilicon Kirin 710F","16MP"
"Vivo Z5x (2020)","6.53-inch (1080x2340)","Qualcomm Snapdragon 712","16MP"
"Motorola Moto E (2020)","","",""
"Motorola Moto G Fast","","",""
"Honor Honor 8S (2020)","","",""
"Honor Play 4","","",""
"Honor Play 4 Pro","","",""
"Vivo X50 Pro+","","",""
"Vivo X50 Pro","","",""
"Vivo X50","","",""
"ZTE Axon 11 SE","","",""
"Xiaomi Redmi 9","","",""
"Nokia C2 Tennen","","",""
"Nokia C2 Tava","","",""
"Nokia C5 Endi","","",""
"Infinix Hot 9 Pro","","",""
"OnePlus Z","","",""
"Motorola Moto G Pro","","",""
"Alcatel Mobile Phones","","",""
"Alpha Mobile Phones","","",""
"Amazon Mobile Phones","","",""
"AOC Mobile Phones","","",""
"Apple Mobile Phones","","",""
"Aqua Mobile Phones","","",""
"Archos Mobile Phones","","",""
"Asus Mobile Phones","","",""
"Benq Mobile Phones","","",""
"Billion Mobile Phones","","",""
"Black Shark Mobile Phones","","",""
"BlackBerry Mobile Phones","","",""
"Blu Mobile Phones","","",""
"BQ Mobile Phones","","",""
"Byond Mobile Phones","","",""
"Cat Mobile Phones","","",""
"Celkon Mobile Phones","","",""
"Centric Mobile Phones","","",""
"Champion Computers Mobile Phones","","",""
"ChampOne Mobile Phones","","",""
"Cherry Mobile Phones","","",""
"Comio Mobile Phones","","",""
"Coolpad Mobile Phones","","",""
"Creo Mobile Phones","","",""
"Croma Mobile Phones","","",""
"Datawind Mobile Phones","","",""
"Detel Mobile Phones","","",""
"Docoss Mobile Phones","","",""
"Elari Mobile Phones","","",""
"Elephone Mobile Phones","","",""
"Energizer Mobile Phones","","",""
"Essential Mobile Phones","","",""
"Evercoss Mobile Phones","","",""
"Fairphone Mobile Phones","","",""
"Flash Mobile Phones","","",""
"Fly Mobile Phones","","",""
"GeeksPhone Mobile Phones","","",""
"General Mobile Phones","","",""
"Gionee Mobile Phones","","",""
"Google Mobile Phones","","",""
"Homtom Mobile Phones","","",""
"Honor Mobile Phones","","",""
"HP Mobile Phones","","",""
